GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency.naming,PurlIdentifier,118,121,7,5,34,31,13,12,9,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency.naming,CpeIdentifier,66,117,4,4,20,34,8,11,4,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency.naming,GenericIdentifier,129,0,8,0,43,0,17,0,13,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml,XmlInputStream,97,256,15,33,14,53,13,23,2,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml,XmlEntity,4,1547,2,2,2,260,2,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler.ParentType,0,34,0,0,0,4,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintParser,59,85,2,0,18,20,2,5,1,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintErrorHandler,17,7,0,0,4,2,3,2,3,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintRule,26,177,0,0,4,37,2,19,2,19
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler,24,251,14,30,8,65,14,20,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,VendorDuplicatingHintRule,8,15,0,0,4,6,2,3,2,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,EvidenceMatcher,47,84,2,16,6,17,8,12,6,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.agent,DependencyCheckScanAgent,391,409,27,13,129,101,80,19,61,18
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.golang,GoModJsonParser,28,80,2,4,8,21,2,5,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.golang,GoModDependency,56,227,6,6,9,46,6,5,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.artifactory,ArtifactorySearch,463,0,28,0,88,0,22,0,8,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetPackage,63,31,6,0,18,13,5,9,2,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathNuspecParser,12,97,4,6,3,19,4,4,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathMSBuildProjectParser,12,70,3,5,3,18,3,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetconfParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,MSBuildProjectParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathNugetconfParser,12,70,3,5,3,18,3,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetPackageReference,43,17,6,0,13,7,5,5,2,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,NuspecParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,CpePlus,8,15,0,0,4,6,2,3,2,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Filter.FilterIterator,8,52,2,8,2,17,3,7,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,ExtractionUtil,665,157,62,16,135,41,40,9,4,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,UrlStringUtils,11,178,3,15,1,27,2,11,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,H2DBShutdownHookFactory,9,21,0,0,3,4,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DependencyVersion,25,327,10,56,8,81,12,32,2,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Filter,0,16,0,0,0,3,0,3,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,H2DBLock,200,279,35,23,46,66,31,8,2,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Pair,47,34,6,0,15,12,7,4,4,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DependencyVersionUtil,2,117,3,23,1,33,3,14,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Filter.new Iterable() {...},0,16,0,0,0,2,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,FileFilterBuilder,9,132,3,13,1,24,2,13,0,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,H2DBShutdownHook,0,3,0,0,0,1,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DateUtil,35,43,0,4,7,10,1,5,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,H2DBCleanupHook,15,20,2,0,6,8,2,4,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DBUtils,23,38,3,7,7,15,3,6,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,DownloadTask,60,121,6,4,17,26,6,7,1,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCveParser,43,120,1,7,7,26,1,8,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCveInfo,0,34,0,0,0,14,0,9,0,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,ProcessTask,14,84,0,0,6,24,1,6,1,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,UpdateableNvdCve,32,76,1,3,8,19,6,8,5,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexEntry,94,54,11,3,18,19,11,9,4,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,CpeMemoryIndex,79,283,13,11,21,72,15,12,4,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParser,47,96,2,0,14,18,1,4,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionRule,506,384,75,69,124,99,76,47,29,22
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionErrorHandler,17,7,0,0,4,2,3,2,3,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionHandler,66,166,14,18,15,45,13,15,0,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,PropertyType,83,58,8,6,18,20,8,10,3,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nexus,NexusSearch,304,0,27,0,75,0,19,0,5,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nexus,MavenArtifact,203,0,4,0,46,0,19,0,17,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils.search,FileContentSearch,72,0,6,0,10,0,6,0,3,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,FileUtils,82,81,11,11,18,23,10,9,1,7
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,HttpResourceConnection,552,114,45,13,113,32,35,6,7,5
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Settings,517,305,61,29,109,79,58,26,18,21
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,32,0,2,0,7,0,3,0,2,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,175,117,6,6,40,31,15,7,11,5
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,InvalidSettingException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},52,0,6,0,7,0,5,0,2,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory,207,67,41,3,47,22,23,5,1,5
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,ResourceNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Downloader,39,71,0,0,6,17,0,5,0,5
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,TooManyRequestsException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,XmlUtils,72,95,9,2,12,29,6,5,1,4
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Checksum,28,168,2,6,7,39,2,14,0,12
